Timestamp, AgeGroup,Gender,YearsExperience,Discipline,PolicyAwareness_NG,PolicyAwareness_NG_Code,PolicyAwareness_Global,PolicyAwareness_Global_Code,OrgAdoption,OrgAdoption_Code,PersonalAdoption,PersonalAdoption_Code,Sustainable_pratice_implemented,Adopt_Waste,Adopt_Water,Adopt_Energy,Adopt_GreenInfra,Adopt_ClimateDesign,AdoptionScore,Infrastructure_reliability,Infra_Water,Infra_Electricity,Infra_Waste,Infra_Sewer,Infra_Internet,InfraIndex,Critical_gaps,balanced_state,Region,ClimatePolicy_Familiarity,ClimatePolicy_Familiarity_Code,Paris_Target_Achievability,Paris_Target_Achievability_Code,observed_urban_changes ,Change_Flooding,Change_LandUse,Change_UrbanSprawl,Change_Temperature,Change_InformalSettlement,ChangeScore,Perceived_Professional_Impact_on_SUD,Perceived_Professional_Impact_on_SUD_code,Key_Contribution_Areas,Contrib_Waste,Contrib_Water,Contrib_Energy,Contrib_GreenInfra,Contrib_ClimateDesign,ContributionScore,Column 51,Column 52
2025-07-09 23:34:40,25 - 34,Male,6 - 10 years,Quantity Surveyors,Somewhat familiar,1,Somewhat familiar,1,"Yes, to some extent",1,"Yes, but only occasionally or when required.",2,"Water conservation methods (e.g., rainwater harvesting, low-flow systems), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements)",0,1,1,1,0,3,"Electricity, Internet access",0,1,0,0,1,2,"Poor implementation by institutions, Not enough funding for green projects",Abuja,North Central,Somewhat familiar,1,"No, the goals are unrealistic or unachievable",0,"Increased flooding, Urban sprawl, Rising temperatures",1,0,1,1,0,3,To a great extent,2,Green Infrastructure,0,0,0,1,0,1,,
2025-07-10 06:02:06,25 - 34,Male,3 - 5 years,Architect,Somewhat familiar,1,"Yes, i am very familiar",2,"Yes, to some extent",1,"Yes, but only occasionally or when required.",2,"Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements)",0,0,0,1,0,1,"Clean water supply, Electricity, Solid waste collection",1,1,1,0,0,3,"Lack of awareness about sustainability policies, Unorganized infrastructure for water, waste, and energy, Low government support for sustainability, Weak public involvement in sustainability efforts",Lagos,South West,Somewhat familiar,1,"No, achieving these goals seems unlikely under current circumstances",1,"Increased flooding, Urban sprawl, Rising temperatures",1,0,1,1,0,3,To a moderate extent,1,"Energy Efficiency, Green Infrastructure, Climate-resilient Design",0,0,1,1,1,3,,
2025-07-10 10:09:22,25 - 34,Male,3 - 5 years,Architect,Somewhat familiar,1,Somewhat familiar,1,Not really,0,"Yes, but only occasionally or when required.",2,"Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs)",0,0,1,0,0,1,"Electricity, Solid waste collection",0,1,1,0,0,2,"Poor implementation by institutions, Lack of awareness about sustainability policies, Not enough funding for green projects, Unorganized infrastructure for water, waste, and energy, Limited knowledge about renewable energy solutions",Abuja,North Central,Not familiar,0,"No, achieving these goals seems unlikely under current circumstances",1,Informal settlement expansion,0,0,0,0,1,1,To a great extent,2,"Waste Management, Energy Efficiency, Green Infrastructure",1,0,1,1,0,3,,
2025-07-10 11:08:20,25 - 34,Female,3 - 5 years,Project Managers,Somewhat familiar,1,Somewhat familiar,1,"Yes, to some extent",1,"Yes, but only occasionally or when required.",2,"Waste management strategies (e.g., recycling, composting, safe disposal), Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements)",1,0,0,1,0,2,"Clean water supply, Sewerage/drainage, Internet access",1,0,0,1,1,3,"Lack of awareness about sustainability policies, Low government support for sustainability, Limited knowledge about renewable energy solutions, Weak public involvement in sustainability efforts, Regional inequality in infrastructure or service delivery",Abuja,North Central,Somewhat familiar,1,I am unsure or do not have enough information on the topic.,2,Land-use change,0,1,0,0,0,1,To a great extent,2,"Water Conservation, Energy Efficiency, Climate-resilient Design",0,1,1,0,1,3,,
2025-07-10 23:36:36,25 - 34,Male,3 - 5 years,Architect,Somewhat familiar,1,Somewhat familiar,1,"Yes, to some extent",1,"Yes, I actively incorporate sustainability in my work.",3,"Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs)",0,0,1,0,0,1,Sewerage/drainage,0,0,0,1,0,1,Lack of awareness about sustainability policies,Abuja,North Central,Not familiar,0,I am unsure or do not have enough information on the topic.,2,"Increased flooding, Land-use change, Rising temperatures",1,1,0,1,0,3,To a great extent,2,"Waste Management, Energy Efficiency, Climate-resilient Design",1,0,1,0,1,3,,
2025-07-11 09:18:57,25 - 34,Male,3 - 5 years,Architect,Very familiar,2,"Yes, i am very familiar",2,"Yes, to some extent",1,"Yes, I actively incorporate sustainability in my work.",3,"Waste management strategies (e.g., recycling, composting, safe disposal), Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements), Climate-resilient design (e.g., flood proof designs, heat-resilient materials)",1,0,0,1,1,3,"Clean water supply, Electricity, Internet access",1,1,0,0,1,3,"Poor implementation by institutions, Lack of awareness about sustainability policies, Not enough funding for green projects, Limited knowledge about renewable energy solutions, Weak public involvement in sustainability efforts, Regional inequality in infrastructure or service delivery",Lagos,South West,Somewhat familiar,1,"Yes, but only with significant efforts and external support",3,Urban sprawl,0,0,1,0,0,1,To a great extent,2,"Energy Efficiency, Green Infrastructure, Climate-resilient Design",0,0,1,1,1,3,,
2025-07-11 09:27:29,25 - 34,Male,3 - 5 years,Architect,Very familiar,2,"Yes, i am very familiar",2,"Yes, to some extent",1,"Yes, I actively incorporate sustainability in my work.",3,"Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements)",0,0,0,1,0,1,Sewerage/drainage,0,0,0,1,0,1,"Poor implementation by institutions, Lack of awareness about sustainability policies, Limited knowledge about renewable energy solutions",Abuja,North Central,Somewhat familiar,1,"No, achieving these goals seems unlikely under current circumstances",1,Informal settlement expansion,0,0,0,0,1,1,To a great extent,2,"Waste Management, Green Infrastructure, Climate-resilient Design",1,0,0,1,1,3,,
2025-07-11 10:17:36,25 - 34,Male,3 - 5 years,Architect,Somewhat familiar,1,"Yes, i am very familiar",2,Not really,0,"Yes, but only occasionally or when required.",2,"Waste management strategies (e.g., recycling, composting, safe disposal), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs)",1,0,1,0,0,2,"Clean water supply, Electricity, Solid waste collection, Sewerage/drainage",1,1,1,1,0,4,"Poor implementation by institutions, Low government support for sustainability",Abuja,North Central,Not familiar,0,"Yes, but only with significant efforts and external support",3,"Land-use change, Urban sprawl",0,1,1,0,0,2,To a great extent,2,"Waste Management, Water Conservation, Energy Efficiency",1,1,1,0,0,3,,
2025-07-14 10:19:19,25 - 34,Female,3 - 5 years,Architect,Somewhat familiar,1,"Yes, i am very familiar",2,Not really,0,"Yes, but only occasionally or when required.",2,"Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs)",0,0,1,0,0,1,Clean water supply,1,0,0,0,0,1,"Poor implementation by institutions, Lack of awareness about sustainability policies, Low government support for sustainability, Limited knowledge about renewable energy solutions",Abuja,North Central,Not familiar,0,"Yes, but only with significant efforts and external support",3,"Increased flooding, Rising temperatures",1,0,0,1,0,2,To a moderate extent,1,"Waste Management, Energy Efficiency, Green Infrastructure",1,0,1,1,0,3,,
2025-07-14 10:31:06,25 - 34,Male,3 - 5 years,Architect,Very familiar,2,Somewhat familiar,1,"Yes, to some extent",1,"Yes, but only occasionally or when required.",2,"Waste management strategies (e.g., recycling, composting, safe disposal), Water conservation methods (e.g., rainwater harvesting, low-flow systems), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs)",1,1,1,0,0,3,Solid waste collection,0,0,1,0,0,1,"Poor implementation by institutions, Lack of awareness about sustainability policies, Weak public involvement in sustainability efforts",Kogi,North Central,Not familiar,0,I am unsure or do not have enough information on the topic.,2,"Increased flooding, Informal settlement expansion",1,0,0,0,1,2,To a great extent,2,"Waste Management, Energy Efficiency, Climate-resilient Design",1,0,1,0,1,3,,
